S.no,Cyclone Name,Year,Landfall State,Intensity
1,Nargis,2008,Myanmar,Very Severe Cyclonic Storm
2,Phailin,2013,"Odisha,AP",Severe Cyclonic Storm
3,Hudhud,2014,AP,Severe Cyclonic Storm
4,Roanu,2016,"AP,TN",Cyclonic Storm
5,Vardah,2016,TN,Cyclonic Storm
6,Fani,2019,Odisha,Very Severe Cyclonic Storm
7,Bulbul,2019,West Bengal,Severe Cyclonic Storm
8,Amphan,2020,West Bengal,Super Cyclonic Storm
9,Nivar,2020,TN,Severe Cyclonic Storm
10,Yaas ,2021,"Odisha,Jharkhand",Severe Cyclonic Storm
11,Asani,2022,AP,Cyclonic Storm
12,Mocha,2023,Myanmar,Very Severe Cyclonic Storm
13,Remal,2024,"Odisha,Bengal",Cyclonic Storm
