name,timestamp,intensity,lat,long,basin of origin,Check
Laila,2010-05-20,SCS,16,80.5,BOB,ok
Giri,2010-10-22,ESCS,17.5,91.5,BOB,ok
Jal,2010-11-07,SCS,13.3,80.2,BOB,ok
Thane,2011-12-30,VSCS,11.6,79.9,BOB,ok
Nilam,2012-10-31,CS,12.5,80.2,BOB,ok
Viyaru,2013-05-16,CS,22.8,91.4,BOB,ok
Phailin,2013-10-12,ESCS,19.2,84.9,BOB,ok
Helen,2013-11-22,SCS,16.1,81.2,BOB,ok
Lehar,2013-11-28,VSCS,15.9,81.1,BOB,ok
Hudhud,2014-10-12,ESCS,17.7,83.3,BOB,ok
Komen,2015-07-30,CS,22.4,91.4,BOB,ok
Roanu,2016-05-21,CS,22.6,91.6,BOB,ok
Vardah,2016-12-12,VSCS,13.3,80.3,BOB,ok
Maaruth,2017-04-16,CS,18.4,94.3,BOB,ok
Mora,2017-05-30,SCS,22,91.9,BOB,ok
Daye,2018-09-20,CS,19.27,84.92,BOB,ok
Titli,2018-10-10,VSCS,18.8,84.5,BOB,ok
Gaja,2018-11-15,VSCS,10.45,79.8,BOB,ok
Phethai,2018-12-17,SCS,16.55,82.25,BOB,ok
Fani,2019-05-03,ESCS,19.75,85.7,BOB,ok
Bulbul,2019-11-09,VSCS,21.55,88.5,BOB,ok
Amphan,2020-05-20,SuCS,21.65,88.3,BOB,ok
NISARGA,2020-06-03,SCS,18.35,72.95,ARB,ok
Nivar,2020-11-25,VSCS,12.1,79.9,BOB,ok
Burevi,2020-12-03,CS,9.2,79.35,BOB,ok
Tauktae,2021-05-17,ESCS,20.8,71.1,ARB,ok
Yaas,2021-05-26,VSCS,21.35,86.95,BOB,ok
Gulab,2021-09-26,CS,18.4,84.2,BOB,ok
Asani,2022-05-11,SCS,16.3,81.3,BOB,ok
Sitrang,2022-10-24,CS,22.15,90.35,BOB,ok
Mandous,2022-12-09,SCS,12.6,80.15,BOB,ok
Mocha,2023-05-14,ESCS,20.3,92.9,BOB,ok
Biparjoy,2023-06-15,VSCS,23.28,68.56,BOB,ok
HAMOON,2023-10-24,VSCS,21.9,91.9,BOB,ok
MIDHILI,2023-11-17,SCS,22.3,90.5,BOB,ok
Michaung,2023-12-05,SCS,15.7,80.3,BOB,ok
REMAL,2024-05-26,SCS,21.75,89.2,BOB,ok
Dana,2024-10-24,SCS,20.5,87.1,BOB,ok
Fengal,2024-11-30,CS,12.05,79.9,BOB,ok
